effect	qualified_name	canonical_type	inferred_effect	inference_basis	override_reason
cxx	std::set<unsigned long, charr::shared::collation_ordering::IndexLess>::insert	struct std::pair<struct std::_Rb_tree_const_iterator<unsigned long>, _Bool> (const unsigned long &)	cxx	clang:not-noexcept	
owner	std::set<unsigned long, charr::shared::collation_ordering::IndexLess>::set	void (const struct charr::shared::collation_ordering::IndexLess &, const class std::allocator<unsigned long> &)	owner	clang:cleanup-construction	
cxx	std::stable_sort	void (class __gnu_cxx::__normal_iterator<int *, class std::vector<int> >, class __gnu_cxx::__normal_iterator<int *, class std::vector<int> >, struct charr::shared::collation_ordering::IndexLess)	cxx	clang:not-noexcept	
neutral	std::unique_ptr<charr::shared::ByteSearchMatcher>::operator bool	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::unique_ptr<charr::shared::ByteSearchMatcher>::operator->	class charr::shared::ByteSearchMatcher *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::unique_ptr<charr::shared::ByteSearchMatcher>::reset	void (class charr::shared::ByteSearchMatcher *) noexcept	neutral	clang:no-cxx-propagation	
owner	std::unique_ptr<charr::shared::ByteSearchMatcher>::unique_ptr	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::unique_ptr<charr::shared::NativeToUtf8::Descriptor>::operator bool	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::unique_ptr<charr::shared::NativeToUtf8::Descriptor>::operator*	class charr::shared::NativeToUtf8::Descriptor &(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::unique_ptr<charr::shared::NativeToUtf8::Descriptor>::reset	void (class charr::shared::NativeToUtf8::Descriptor *) noexcept	neutral	clang:no-cxx-propagation	
owner	std::unique_ptr<charr::shared::NativeToUtf8::Descriptor>::unique_ptr	void (void) noexcept	owner	clang:cleanup-construction	
cxx	std::unordered_map<charr::base_backend::search_fixed_extract::DirectRepeatKey, SEXPREC *, charr::base_backend::search_fixed_extract::DirectRepeatHash>::emplace	struct std::pair<struct std::__detail::_Node_iterator<struct std::pair<const struct charr::base_backend::search_fixed_extract::DirectRepeatKey, struct SEXPREC *>, false, false>, _Bool> (const struct charr::base_backend::search_fixed_extract::DirectRepeatKey &, struct SEXPREC *&)	cxx	clang:not-noexcept	
neutral	std::unordered_map<charr::base_backend::search_fixed_extract::DirectRepeatKey, SEXPREC *, charr::base_backend::search_fixed_extract::DirectRepeatHash>::end	struct std::__detail::_Node_iterator<struct std::pair<const struct charr::base_backend::search_fixed_extract::DirectRepeatKey, struct SEXPREC *>, false, false> (void) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::unordered_map<charr::base_backend::search_fixed_extract::DirectRepeatKey, SEXPREC *, charr::base_backend::search_fixed_extract::DirectRepeatHash>::find	struct std::__detail::_Node_iterator<struct std::pair<const struct charr::base_backend::search_fixed_extract::DirectRepeatKey, struct SEXPREC *>, false, false> (const struct charr::base_backend::search_fixed_extract::DirectRepeatKey &)	cxx	clang:not-noexcept	
cxx	std::unordered_map<charr::base_backend::search_fixed_extract::DirectRepeatKey, SEXPREC *, charr::base_backend::search_fixed_extract::DirectRepeatHash>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::unordered_map<charr::base_backend::search_fixed_extract::DirectRepeatKey, SEXPREC *, charr::base_backend::search_fixed_extract::DirectRepeatHash>::unordered_map	void (void) noexcept	owner	clang:cleanup-construction	
cxx	std::unordered_map<charr::shared::FixedExtractRepeatKey, SEXPREC *, charr::shared::FixedExtractRepeatHash>::emplace	struct std::pair<struct std::__detail::_Node_iterator<struct std::pair<const struct charr::shared::FixedExtractRepeatKey, struct SEXPREC *>, false, false>, _Bool> (const struct charr::shared::FixedExtractRepeatKey &, struct SEXPREC *&)	cxx	clang:not-noexcept	
neutral	std::unordered_map<charr::shared::FixedExtractRepeatKey, SEXPREC *, charr::shared::FixedExtractRepeatHash>::end	struct std::__detail::_Node_iterator<struct std::pair<const struct charr::shared::FixedExtractRepeatKey, struct SEXPREC *>, false, false> (void) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::unordered_map<charr::shared::FixedExtractRepeatKey, SEXPREC *, charr::shared::FixedExtractRepeatHash>::find	struct std::__detail::_Node_iterator<struct std::pair<const struct charr::shared::FixedExtractRepeatKey, struct SEXPREC *>, false, false> (const struct charr::shared::FixedExtractRepeatKey &)	cxx	clang:not-noexcept	
cxx	std::unordered_map<charr::shared::FixedExtractRepeatKey, SEXPREC *, charr::shared::FixedExtractRepeatHash>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::unordered_map<charr::shared::FixedExtractRepeatKey, SEXPREC *, charr::shared::FixedExtractRepeatHash>::unordered_map	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<cetype_ext_t>::operator[]	const struct cetype_ext_t &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<cetype_ext_t>::operator[]	struct cetype_ext_t &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<cetype_ext_t>::vector	void (unsigned long, const class std::allocator<struct cetype_ext_t> &)	owner	clang:cleanup-construction	
neutral	std::vector<char>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<char>::data	char *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<char>::data	const char *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<char>::empty	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<char>::max_size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<char>::operator[]	char &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<char>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<char>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<char>::swap	void (class std::vector<char> &) noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<char>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charport::Reader>::operator[]	class charport::Reader &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charport::Reader>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charport::Reader>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charport::StrViews>::operator[]	class charport::StrViews &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charport::StrViews>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charport::StrViews>::vector	void (void) noexcept	owner	clang:cleanup-construction	
cxx	std::vector<charport::charvec::Store>::emplace_back	class charport::charvec::Store &(int &&, int &&)	cxx	clang:not-noexcept	
neutral	std::vector<charport::charvec::Store>::operator[]	class charport::charvec::Store &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charport::charvec::Store>::push_back	void (class charport::charvec::Store &&)	cxx	clang:not-noexcept	
cxx	std::vector<charport::charvec::Store>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charport::charvec::Store>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charport_strview>::operator[]	struct charport_strview &(unsigned long) noexcept		legacy-unobserved	
cxx	std::vector<charport_strview>::resize	void (unsigned long)		legacy-unobserved	
neutral	std::vector<charport_strview>::vector	void (void) noexcept		legacy-unobserved	
neutral	std::vector<charr::altrep_backend::encoding_conversion::ByteRecord>::operator[]	struct charr::altrep_backend::encoding_conversion::ByteRecord &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::altrep_backend::encoding_conversion::ByteRecord>::vector	void (unsigned long, const class std::allocator<struct charr::altrep_backend::encoding_conversion::ByteRecord> &)	owner	clang:cleanup-construction	
neutral	std::vector<charr::altrep_backend::encoding_conversion::RawResult>::operator[]	const struct charr::altrep_backend::encoding_conversion::RawResult &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::altrep_backend::encoding_conversion::RawResult>::operator[]	struct charr::altrep_backend::encoding_conversion::RawResult &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::altrep_backend::encoding_conversion::RawResult>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::altrep_backend::encoding_conversion::RawResult>::vector	void (unsigned long, const class std::allocator<struct charr::altrep_backend::encoding_conversion::RawResult> &)	owner	clang:cleanup-construction	
neutral	std::vector<charr::altrep_backend::pad::PadInput>::operator[]	struct charr::altrep_backend::pad::PadInput &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::altrep_backend::pad::PadInput>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charr::altrep_backend::pad::PadInput>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::altrep_backend::sub::CiSubFrameInput>::operator[]	struct charr::altrep_backend::sub::CiSubFrameInput &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::altrep_backend::sub::CiSubFrameInput>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charr::altrep_backend::sub::CiSubFrameInput>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::base_backend::encoding_conversion::ByteRecord>::operator[]	struct charr::base_backend::encoding_conversion::ByteRecord &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::base_backend::encoding_conversion::ByteRecord>::vector	void (unsigned long, const class std::allocator<struct charr::base_backend::encoding_conversion::ByteRecord> &)	owner	clang:cleanup-construction	
neutral	std::vector<charr::base_backend::pad::PadInput>::operator[]	struct charr::base_backend::pad::PadInput &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::base_backend::pad::PadInput>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charr::base_backend::pad::PadInput>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::base_backend::sub::CiSubInput>::operator[]	struct charr::base_backend::sub::CiSubInput &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::base_backend::sub::CiSubInput>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charr::base_backend::sub::CiSubInput>::vector	void (unsigned long, const class std::allocator<struct charr::base_backend::sub::CiSubInput> &)	owner	clang:cleanup-construction	
owner	std::vector<charr::base_backend::sub::CiSubInput>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::BoundaryRange>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::BoundaryRange>::operator[]	struct charr::shared::BoundaryRange &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::BoundaryRange>::push_back	void (const struct charr::shared::BoundaryRange &)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::BoundaryRange>::reserve	void (unsigned long)		legacy-unobserved	
neutral	std::vector<charr::shared::BoundaryRange>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::BoundaryRange>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::ByteRange>::back	struct charr::shared::ByteRange &(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::ByteRange>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::ByteRange>::operator[]	const struct charr::shared::ByteRange &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::ByteRange>::operator[]	struct charr::shared::ByteRange &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::ByteRange>::pop_back	void (void) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::ByteRange>::push_back	void (const struct charr::shared::ByteRange &)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::ByteRange>::push_back	void (struct charr::shared::ByteRange &&)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::ByteRange>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::ByteRange>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::ByteRange>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::CharacterClassRange>::clear	void (void) noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::CharacterClassRange>::operator[]	const struct charr::shared::CharacterClassRange &(unsigned long) const noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::CharacterClassRange>::operator[]	struct charr::shared::CharacterClassRange &(unsigned long) noexcept		legacy-unobserved	
cxx	std::vector<charr::shared::CharacterClassRange>::push_back	void (struct charr::shared::CharacterClassRange &&)		legacy-unobserved	
neutral	std::vector<charr::shared::CharacterClassRange>::size	unsigned long (void) const noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::CharacterClassRange>::vector	void (void) noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::CollationRange>::back	struct charr::shared::CollationRange &(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::CollationRange>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::CollationRange>::operator[]	const struct charr::shared::CollationRange &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::CollationRange>::operator[]	struct charr::shared::CollationRange &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::CollationRange>::pop_back	void (void) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::CollationRange>::push_back	void (const struct charr::shared::CollationRange &)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::CollationRange>::push_back	void (struct charr::shared::CollationRange &&)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::CollationRange>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::CollationRange>::resize	void (unsigned long)		legacy-unobserved	
neutral	std::vector<charr::shared::CollationRange>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::CollationRange>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::EncodingInfoDiagnostic>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::EncodingInfoDiagnostic>::operator[]	const struct charr::shared::EncodingInfoDiagnostic &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::EncodingInfoDiagnostic>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::EncodingInfoDiagnostic>::vector	void (void) noexcept	owner	clang:cleanup-construction	
cxx	std::vector<charr::shared::EncodingInfoValue>::assign	void (unsigned long, const struct charr::shared::EncodingInfoValue &)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::EncodingInfoValue>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::EncodingInfoValue>::operator[]	const struct charr::shared::EncodingInfoValue &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::EncodingInfoValue>::operator[]	struct charr::shared::EncodingInfoValue &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::EncodingInfoValue>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::EncodingInfoValue>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::FixedExtractRow>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::FixedExtractRow>::operator[]	struct charr::shared::FixedExtractRow &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::FixedExtractRow>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charr::shared::FixedExtractRow>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::FixedRange>::back	struct charr::shared::FixedRange &(void) noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::FixedRange>::clear	void (void) noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::FixedRange>::operator[]	const struct charr::shared::FixedRange &(unsigned long) const noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::FixedRange>::operator[]	struct charr::shared::FixedRange &(unsigned long) noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::FixedRange>::pop_back	void (void) noexcept		legacy-unobserved	
cxx	std::vector<charr::shared::FixedRange>::push_back	void (struct charr::shared::FixedRange &&)		legacy-unobserved	
cxx	std::vector<charr::shared::FixedRange>::reserve	void (unsigned long)		legacy-unobserved	
neutral	std::vector<charr::shared::FixedRange>::size	unsigned long (void) const noexcept		legacy-unobserved	
neutral	std::vector<charr::shared::FixedRange>::vector	void (void) noexcept		legacy-unobserved	
cxx	std::vector<charr::shared::RegexRange>::assign	void (unsigned long, const struct charr::shared::RegexRange &)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::RegexRange>::back	struct charr::shared::RegexRange &(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::RegexRange>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::RegexRange>::operator[]	const struct charr::shared::RegexRange &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::RegexRange>::operator[]	struct charr::shared::RegexRange &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::RegexRange>::pop_back	void (void) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::RegexRange>::push_back	void (const struct charr::shared::RegexRange &)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::RegexRange>::push_back	void (struct charr::shared::RegexRange &&)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::RegexRange>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::RegexRange>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::RegexRange>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::RegexRange>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::StringView>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::StringView>::data	const struct charr::shared::StringView *(void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::StringView>::data	struct charr::shared::StringView *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::StringView>::empty	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::StringView>::operator[]	const struct charr::shared::StringView &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::StringView>::operator[]	struct charr::shared::StringView &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::StringView>::push_back	void (const struct charr::shared::StringView &)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::StringView>::push_back	void (struct charr::shared::StringView &&)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::StringView>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::StringView>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::StringView>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::StringView>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::join::Column>::data	struct charr::shared::join::Column *(void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::join::Column>::operator[]	struct charr::shared::join::Column &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::join::Column>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::join::Column>::vector	void (unsigned long, const class std::allocator<struct charr::shared::join::Column> &)	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::join::FlattenPlan>::operator[]	struct charr::shared::join::FlattenPlan &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::join::FlattenPlan>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<charr::shared::join::FlattenPlan>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<charr::shared::line_split::InvalidSequence>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::line_split::InvalidSequence>::empty	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::line_split::InvalidSequence>::operator[]	const struct charr::shared::line_split::InvalidSequence &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::line_split::InvalidSequence>::operator[]	struct charr::shared::line_split::InvalidSequence &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::line_split::InvalidSequence>::push_back	void (struct charr::shared::line_split::InvalidSequence &&)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::line_split::InvalidSequence>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::line_split::LineSlice>::capacity	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::line_split::LineSlice>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::line_split::LineSlice>::operator[]	const struct charr::shared::line_split::LineSlice &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::line_split::LineSlice>::operator[]	struct charr::shared::line_split::LineSlice &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::line_split::LineSlice>::push_back	void (struct charr::shared::line_split::LineSlice &&)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::line_split::LineSlice>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::line_split::LineSlice>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<charr::shared::substring::ReplacementWarning>::operator[]	const enum charr::shared::substring::ReplacementWarning &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<charr::shared::substring::ReplacementWarning>::push_back	void (const enum charr::shared::substring::ReplacementWarning &)	cxx	clang:not-noexcept	
cxx	std::vector<charr::shared::substring::ReplacementWarning>::push_back	void (enum charr::shared::substring::ReplacementWarning &&)	cxx	clang:not-noexcept	
neutral	std::vector<charr::shared::substring::ReplacementWarning>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<charr::shared::substring::ReplacementWarning>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<const char *>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<const char *>::operator[]	const char *&(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<const char *>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<const char *>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<double>::max_size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<double>::operator[]	double &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<double>::resize	void (unsigned long)	cxx	clang:not-noexcept	
owner	std::vector<double>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<icu_78::UnicodeSet>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<icu_78::UnicodeSet>::operator[]	class icu_78::UnicodeSet &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<icu_78::UnicodeSet>::operator[]	const class icu_78::UnicodeSet &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<icu_78::UnicodeSet>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<icu_78::UnicodeSet>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<icu_78::UnicodeSet>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<icu_78::UnicodeString>::operator[]	class icu_78::UnicodeString &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<icu_78::UnicodeString>::operator[]	const class icu_78::UnicodeString &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<icu_78::UnicodeString>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<icu_78::UnicodeString>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<icu_78::UnicodeString>::vector	void (unsigned long, const class std::allocator<class icu_78::UnicodeString> &)	owner	clang:cleanup-construction	
owner	std::vector<icu_78::UnicodeString>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<int>::back	const int &(void) const noexcept		legacy-unobserved	
neutral	std::vector<int>::begin	class __gnu_cxx::__normal_iterator<int *, class std::vector<int> > (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<int>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<int>::empty	_Bool (void) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<int>::end	class __gnu_cxx::__normal_iterator<int *, class std::vector<int> > (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<int>::operator[]	const int &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<int>::operator[]	int &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<int>::push_back	void (const int &)	cxx	clang:not-noexcept	
cxx	std::vector<int>::push_back	void (int &&)	cxx	clang:not-noexcept	
cxx	std::vector<int>::reserve	void (unsigned long)	cxx	clang:not-noexcept	
cxx	std::vector<int>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<int>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<int>::vector	void (unsigned long, const int &, const class std::allocator<int> &)	owner	clang:cleanup-construction	
owner	std::vector<int>::vector	void (void) noexcept	owner	clang:cleanup-construction	
cxx	std::vector<std::basic_string<char>>::assign	void (unsigned long, const class std::basic_string<char> &)	cxx	clang:not-noexcept	
neutral	std::vector<std::basic_string<char>>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<std::basic_string<char>>::operator[]	class std::basic_string<char> &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<std::basic_string<char>>::operator[]	const class std::basic_string<char> &(unsigned long) const noexcept	neutral	clang:no-cxx-propagation	
cxx	std::vector<std::basic_string<char>>::resize	void (unsigned long)	cxx	clang:not-noexcept	
neutral	std::vector<std::basic_string<char>>::size	unsigned long (void) const noexcept	neutral	clang:no-cxx-propagation	
owner	std::vector<std::basic_string<char>>::vector	void (void) noexcept	owner	clang:cleanup-construction	
neutral	std::vector<std::vector<charr::shared::RegexRange>>::clear	void (void) noexcept	neutral	clang:no-cxx-propagation	
neutral	std::vector<std::vector<charr::shared::RegexRange>>::operator[]	class std::vector<struct charr::shared::RegexRange> &(unsigned long) noexcept	neutral	clang:no-cxx-propagation	
